Nama Karakter,Jenis Kelamin,Warna Lightsaber,Senjata Ikonik,Lokasi Asal,Spesies Karakter,Kepribadian,Keahlian
Kylo Ren,Laki-laki,Merah,Lightsaber,Mandalore,Manusia,Pemalu,Taktik pertempuran
Snoke,Laki-laki,Tidak ada lightsaber,Lightsaber,Mandalore,Mandalorian,Bijaksana,Bernegosiasi
Saw Gerrera,Laki-laki,Tidak ada lightsaber,Tidak ada senjata ikonik,Mandalore,Mandalorian,Berani,Pertempuran
General Hux,Laki-laki,Tidak ada lightsaber,Tidak ada senjata ikonik,Mandalore,Mandalorian,Karismatik,Analisis teknologi
Captain Phasma,Perempuan,Tidak ada lightsaber,Blaster,Tatooine,Mandalorian,Karismatik,Merencanakan serangan
Maz Kanata,Perempuan,Tidak ada lightsaber,Lightsaber,Naboo,Mandalorian,Karismatik,Menggunakan lightsaber
The Mandalorian (Din Djarin),Laki-laki,Tidak ada lightsaber,Tidak ada senjata ikonik,Endor,Manusia,Cerdas,Analisis situasi
Grogu (Baby Yoda),Tidak diketahui,Hijau,Lightsaber,Naboo,Hutt,Ceria,Menggunakan lightsaber
Darth Sidious,Laki-laki,Merah,Lightsaber,Tatooine,Manusia,Kejam,Strategi pertempuran
Salacious B. Crumb,Laki-laki,Tidak ada lightsaber,Tidak ada senjata ikonik,Kamino,Manusia,Setia,Bertahan hidup
Boba Fett,Laki-laki,Tidak ada lightsaber,Lightsaber,Kashyyyk,Manusia,Cerdas,Menggunakan senjata
General Leia Organa,Perempuan,Biru,Tidak ada senjata ikonik,Coruscant,Ewok,Serius,Seni bertarung
Talon Karrde,Laki-laki,Tidak ada lightsaber,Blaster,Naboo,Hutt,Penuh kasih sayang,Menggunakan lightsaber
Bail Prestor Organa,Laki-laki,Tidak ada lightsaber,Lightsaber,Endor,Manusia,Berani,Memanipulasi
Biggs Darklighter,Laki-laki,Biru,Tidak ada senjata ikonik,Coruscant,Manusia,Berani,Bertarung
Wedge Antilles,Laki-laki,Biru,Lightsaber,Tatooine,Manusia,Setia,Strategi
Rancor,Tidak diketahui,Tidak ada lightsaber,Tidak ada senjata ikonik,Naboo,Wookiee,Setia,Bertahan hidup
Lobot,Laki-laki,Tidak ada lightsaber,Blaster,Naboo,Manusia,Humoris,Bertarung
Poggle the Lesser,Laki-laki,Tidak ada lightsaber,Tidak ada senjata ikonik,Mustafar,Manusia,Karismatik,Menggunakan senjata
Zorii Bliss,Perempuan,Tidak ada lightsaber,Lightsaber,Endor,Ewok,Tenang,Memimpin
Fenn Rau,Laki-laki,Tidak ada lightsaber,Blaster,Tatooine,Manusia,Humoris,Bertarung
Darth Bane,Laki-laki,Merah,Lightsaber,Corellia,Manusia,Berani,Bertarung
Ahsoka Tano,Perempuan,Putih (saat menjadi Ahsoka Tano yang baru),Lightsaber,Naboo,Hutt,Kejam,Bertahan hidup
